station,location,state,do,ph,co,bod,na,tc,year,npH,ndo,nco,nbdo,nec,nna,wph,wdo,wbdo,wec,wna,wco,wqi
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,7.3,7,188,1,0.1,3048,2014,100,100,40,100,60,100,16.5,28.1,23.4,0.54,2.8,11.24,82.58
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,7,6.9,224,1.2,0.3,6742,2014,80,100,40,100,60,100,13.2,28.1,23.4,0.54,2.8,11.24,79.28
1545,"RIVER MADAI AT DABOS NAN  VALPOI, GOA",GOA,7.3,6.7,144,1.5,0.1,3052,2014,60,100,40,100,80,100,9.9,28.1,23.4,0.72,2.8,11.24,76.16
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,5.3,6.8,319,1.8,0.3,10250,2014,80,80,0,100,0,100,13.2,22.48,23.4,0,2.8,0,61.88
2271,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,6.3,6.4,79,1.6,1.4,12842,2014,0,100,0,100,80,100,0,28.1,23.4,0.72,2.8,0,55.02
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,5.4,7.6,39,1.4,0.1,6367,2014,100,80,40,100,100,100,16.5,22.48,23.4,0.9,2.8,11.24,77.32
3183,"RIVER SAL AT KHAREBAND, MARGAO",GOA,2.2,6.5,322,4.7,1.2,14920,2014,40,0,0,80,0,100,6.6,0,18.72,0,2.8,0,28.12
3184,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA,5.2,7.1,192,2.6,0.3,8925,2014,100,80,40,100,60,100,16.5,22.48,23.4,0.54,2.8,11.24,76.96
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,5.6,7.5,282,1.8,0.1,5082,2014,100,80,40,100,40,100,16.5,22.48,23.4,0.36,2.8,11.24,76.78
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,5.5,7.4,275,1.5,0.1,8625,2014,100,80,40,100,40,100,16.5,22.48,23.4,0.36,2.8,11.24,76.78
1547,"RIVER TALPONA AT CANACONA, GOA",GOA,7.3,6.7,55,1.4,0.1,4003,2014,60,100,40,100,100,100,9.9,28.1,23.4,0.9,2.8,11.24,76.34
3188,RIVER TIRACOL AT TIRACOL,GOA,6.5,7.5,415,2,0.1,1538,2014,100,100,40,100,0,100,16.5,28.1,23.4,0,2.8,11.24,82.04
1544,"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,7.2,6.3,100,1.5,0.1,13575,2014,0,100,0,100,80,100,0,28.1,23.4,0.72,2.8,0,55.02
2651,"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,6.6,7.8,95,4.9,0.2,36,2014,100,100,80,80,80,100,16.5,28.1,18.72,0.72,2.8,22.48,89.32
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,6.9,7.9,99,5,0.4,34,2014,100,100,80,80,80,100,16.5,28.1,18.72,0.72,2.8,22.48,89.32
2653,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,6.8,7.7,85,5.2,0.3,23,2014,100,100,80,80,80,100,16.5,28.1,18.72,0.72,2.8,22.48,89.32
2654,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,6.7,7.8,80,4.9,0.3,29,2014,100,100,80,80,80,100,16.5,28.1,18.72,0.72,2.8,22.48,89.32
1092,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,5.1,7.3,3937,10.3,1.8,83,2014,100,80,60,60,0,100,16.5,22.48,14.04,0,2.8,16.86,72.68
2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,5.6,7.9,468,3.6,1.9,164,2014,100,80,60,80,0,100,16.5,22.48,18.72,0,2.8,16.86,77.36
1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA,6.4,7.6,541,5.7,0.6,45,2014,100,100,80,80,0,100,16.5,28.1,18.72,0,2.8,22.48,88.6
2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,5.5,7.4,6166,7.7,1.1,67,2014,100,80,60,60,0,100,16.5,22.48,14.04,0,2.8,16.86,72.68
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,5.3,7.7,24062,9.9,1.2,304,2014,100,80,60,60,0,100,16.5,22.48,14.04,0,2.8,16.86,72.68
2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",MAHARASHTRA,6.7,7.6,83,4.8,0.2,76,2014,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
2168,MITHI RIVER,MAHARASHTRA,3.6,7.4,4424,31.3,2.2,474,2014,100,40,60,60,0,100,16.5,11.24,14.04,0,2.8,16.86,61.44
2676,"MUCHKUNDI RIVER AT  WAKED,RATNAGIRI, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.",MAHARASHTRA,7.2,7.7,226,3.1,0.8,130,2014,100,100,60,80,40,100,16.5,28.1,18.72,0.36,2.8,16.86,83.34
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,5.9,7.4,268,6.4,0.4,68,2014,100,80,60,60,40,100,16.5,22.48,14.04,0.36,2.8,16.86,73.04
1462,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA,5.4,7.5,2413,7.4,1.5,116,2014,100,80,60,60,0,100,16.5,22.48,14.04,0,2.8,16.86,72.68
2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA,5.8,7.3,384,5.4,0.6,78,2014,100,80,60,80,0,100,16.5,22.48,18.72,0,2.8,16.86,77.36
2686,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA,5.9,7.4,269,5.1,1.2,60,2014,100,80,60,80,40,100,16.5,22.48,18.72,0.36,2.8,16.86,77.72
2687,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA,6,7.3,269,8.5,0.4,58,2014,100,100,60,60,40,100,16.5,28.1,14.04,0.36,2.8,16.86,78.66
2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA,6.1,7.3,196,6.1,0.5,63,2014,100,100,60,60,60,100,16.5,28.1,14.04,0.54,2.8,16.86,78.84
2689,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA,5.9,7.4,269,6.4,0.4,47,2014,100,80,80,60,40,100,16.5,22.48,14.04,0.36,2.8,22.48,78.66
2696,"PEHLAR DAM ON PEHLAR RIVER INLET OF WATER WORKS, VASAI, THANE.",MAHARASHTRA,6.3,7.8,223,4.6,0.9,32,2014,100,100,80,80,60,100,16.5,28.1,18.72,0.54,2.8,22.48,89.14
2199,SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,6.7,7.3,9293,3.5,1.8,0,2014,100,100,100,80,0,100,16.5,28.1,18.72,0,2.8,28.1,94.22
2701,"SAVITRI RIVER JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,6.8,7.2,170,3.1,1.4,0,2014,100,100,100,80,60,100,16.5,28.1,18.72,0.54,2.8,28.1,94.76
2702,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",MAHARASHTRA,6.8,7.3,4175,3.3,1.6,0,2014,100,100,100,80,0,100,16.5,28.1,18.72,0,2.8,28.1,94.22
2703,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,6.9,7.3,4282,3.3,1.6,0,2014,100,100,100,80,0,100,16.5,28.1,18.72,0,2.8,28.1,94.22
2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,6.9,7.3,5551,3.4,1.7,0,2014,100,100,100,80,0,100,16.5,28.1,18.72,0,2.8,28.1,94.22
2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,6.8,7.9,5390,4.9,0.8,28,2014,100,100,80,80,0,100,16.5,28.1,18.72,0,2.8,22.48,88.6
