location,state,do,ph,co,bod,na,tc,year,wqi
"BUGI RIVER AT DALU, SOUTH GARO HILLS",MEGHALAYA,7.2,7.5,120,2.3,4.1,67,2014,88.38
"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",MEGHALAYA,7.5,7.3,82,1.8,2.8,70,2014,88.38
"GANOL RIVER TURA, MEGHALAYA",MEGHALAYA,7.5,7.5,111,2.4,3,506,2014,82.76
"KYRHUKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.,MEGHALAYA",MEGHALAYA,5.3,3.3,831,7.7,3.2,36,2014,61.8
"KYNSHI RIVER AT SOHIONG, WEST KHASI HILLS",MEGHALAYA,7.2,7.2,56,1.7,2.6,42,2014,94.18
"KYNSHI RIVER AT NANGKHNUM, WEST KHASI HILLS",MEGHALAYA,7.5,7.2,66,1.6,2.5,44,2014,94.18
"KYNSHI RIVER AT RANIKOR, WEST KHASI HILLS",MEGHALAYA,7.8,7,74,2.3,4.3,108,2014,88.56
LUKHA RIVER AT MYNDIHATI (TRIBUTARY OF LUNAR),MEGHALAYA,6.7,2.7,1350,3.3,1.1,16,2014,72.1
LUKHA RIVER AT SUNAPUR (TRIBUTARY OF LUNAR),MEGHALAYA,7.3,6.6,274,2.5,2.4,386,2014,78.12
"MANDA RIVER (DUDHAI RIVER) AT JAMPA, EAST GARO HILLS",MEGHALAYA,7.4,7.3,67,1.8,2.5,55,2014,88.56
"MANDA RIVER (DUDHAI RIVER) AT WAGAISI, EAST GARO HILLS",MEGHALAYA,7.2,7.4,82,2,2.8,61,2014,88.38
"MYNTANG RIVER AT NARTIANG, JAYANTIA HILLS",MEGHALAYA,7.3,7.1,55,1.9,2.5,53,2014,88.56
"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",MEGHALAYA,7.3,7.1,57,2,2.4,50,2014,94.18
"MYNTDU RIVER JOWAI, MEGHALAYA",MEGHALAYA,6.6,7.1,114,2.6,2.8,3108,2014,82.76
"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS",MEGHALAYA,7.3,5.6,56,1.8,2.1,34,2014,77.68
