location,state,do,ph,co,bod,na,tc,year,wqi
VASHISTI AT U/S OF POPHALI NR KONPHANSAWANE BRIDGE,MAHARASHTRA,6.9,7.7,205,2.2,0.93,55,2011,88.2
ACHENKOIL AT THUMPAMON,KERALA,7.1,6.9,72,0.5,0.25,641,2011,79.64
ACHENKOIL AT CHENNITHULA,KERALA,6.6,6.9,70,0.9,0.49,495,2011,85.26
R ANCHARAKANDY AT MERUVAMBA,KERALA,6.9,7.1,52,0.8,0.18,520,2011,82.94
R ANCHARAKANDY AT MERUVAMBA,KERALA,7.2,7,830,0.8,0.16,654,2011,82.04
R AYROOR AT AYROOR BRIDGE,KERALA,6.3,6.9,95,1.3,0.99,1325,2011,79.46
R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,7.2,7.4,164,0.9,0.46,2225,2011,82.58
R BHARATHAPUZHA AT PATTAMBI,KERALA,6.9,7.5,231,0.8,0.55,1725,2011,82.4
CHALAKUDY AT PULICKALKANANDAVU,KERALA,6.5,6.9,101,1.3,0.47,1127,2011,79.46
"CHALIYAR AT KOOLIMADU, KERALA",KERALA,7.1,7.1,64,0.6,0.4,646,2011,82.94
CHALIYAR AT CHUNGAPALLY,KERALA,7.1,7.1,4600,0.6,0.35,538,2011,82.04
CHANDRAGIRI AT PADIYATHADKA,KERALA,7.5,7.2,52,0.6,0.15,900,2011,82.94
CHITTHRAPUZHA AT IRUMPANAM,KERALA,2,6.8,265,2.4,2.3,5425,2011,51
R CORAPUZHA AT KANAYANKODE,KERALA,5.6,7,12769,1.2,0.41,1650,2011,76.42
"ITHIKKARA AT AYUR, KERALA",KERALA,7.1,7,90,0.6,0.64,625,2011,82.76
R ITHIKKARA AT ITHIKKARA,KERALA,6.1,7,248,0.8,0.66,1150,2011,82.4
KADALUNDY AT THIRURANGADY,KERALA,6,7,94,1.1,0.13,370,2011,88.38
R KADALUNDI AT HAJIRAPPALLY,KERALA,6.5,7.5,76,0.8,0.08,585,2011,82.76
R KADAMBAYAR AT BRAHMAPURAM,KERALA,1.5,6.6,192,3.6,0.92,2978,2011,39.9
R KADAMBAYAR AT MANCKAKADAVU,KERALA,2,6.8,79,2.4,0.2,1275,2011,51.36
"KALLADA AT PERUMTHOTTAM KADAVU, PUNALOOR, KERALA",KERALA,7.2,7.1,52,0.6,0.15,687,2011,82.94
R KALLAI AT KALLAI BRIDGE,KERALA,4,7.5,25964,1.1,0.76,1588,2011,65.18
KARINGODE AT KAKKADAVU,KERALA,7.2,7.3,54,0.9,0.25,610,2011,82.94
KARAMANA AT MOONNATTUMUKKU,KERALA,0.8,7.1,1239,11.9,1.87,11000,2011,33.34
R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,6.4,6.5,58,1.3,0.34,960,2011,73.04
R KAVVAI AT KUTTIYOL PALAM,KERALA,6.3,6.8,77,1.2,0.16,208,2011,85.08
R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,5.4,6.6,80,1.6,0.27,775,2011,67.24
R KORAYAR AT KANJIKODE,KERALA,5.8,7.8,666,1,0.24,1650,2011,76.42
R KUPPAM AT THALIPARAMBA,KERALA,6.6,7.2,12768,1.1,0.13,1412,2011,82.04
R KUPPAM AT RAYAROM,KERALA,7.7,7.2,44,1,0.28,148,2011,88.56
R KUTTIYADY AT  KUTTIYADY ESTATE,KERALA,7.1,7,27,0.4,0.11,218,2011,88.56
"R MAHE AT VALAYAM, KERALA",KERALA,7.3,7.2,59,0.6,0.19,465,2011,88.56
R MAMOM AT MAMOM BRIDGE,KERALA,7.8,7.1,119,0.7,0.87,1725,2011,82.76
"MANIMALA  AT KALLOOPARA,",KERALA,7.3,7.1,54,1.3,0.41,913,2011,82.94
"MANIMALA AT THONDRA, KERALA",KERALA,7,6.6,104,1.5,0.49,1000,2011,72.86
R MANJESWAR AT BAJRAKKARA BR.,KERALA,6,7.2,92,0.7,0.38,1390,2011,82.76
"MEENACHIL AT KIDANGOOR, KERALA",KERALA,6.8,6.6,48,0.5,0.44,2025,2011,73.04
R MOGRAL AT MOGRAL BR.,KERALA,5.6,7.1,20455,0.6,0.58,675,2011,76.42
"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,7,7,56,1.1,0.43,1725,2011,82.94
R NEELASWARAM AT NAMBIARKAL DAM,KERALA,6.7,6.9,2531,0.5,0.22,465,2011,84.36
R NEELASWARAM AT HOSDURG,KERALA,6.2,7.2,15362,0.8,0.39,1303,2011,82.04
"R NEYYAR AT AMARAVILA, KERALA",KERALA,7.3,7.2,62,0.8,0.95,985,2011,82.94
R NEYYAR AT ARUVIPURAM,KERALA,7.6,7.2,59,0.6,0.65,1163,2011,82.94
R PALLICKAL AT NELLIMUKAL,KERALA,6.4,6.8,83,0.5,0.42,575,2011,79.46
"PAMBA AT CHENGANNUR, KERALA",KERALA,7,6.6,50,0.6,0.75,578,2011,73.04
"PAMBA AT THAKAZHY, KERALA",KERALA,6.7,6.8,76,1.2,1.21,625,2011,79.46
"PAMBA DOWN, KERALA",KERALA,6.7,6.6,64,0.9,1.35,838,2011,73.04
PERIYAR NEAR ALWAYENANELOOR,KERALA,5.6,6.9,943,1.5,0.4,1925,2011,73.12
"PERIYAR AT KALADY, KERALA",KERALA,7.4,7,38,0.9,0.26,1196,2011,82.94
"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,6.7,6.9,43,1,0.3,2750,2011,79.64
RIVER PERIYAR AT MUPPATHADAM,KERALA,7.1,7.3,48,1.5,0.36,1775,2011,82.94
RIVER PERIYAR AT PATHALAM,KERALA,6.2,6.8,309,1.6,0.39,2725,2011,78.74
R PERIYAR AT KALAMASSERY,KERALA,5.2,6.8,61,1.8,0.33,2650,2011,74.02
R PERIYAR AT PURAPPALLIKAVU,KERALA,6.8,6.9,995,1.1,0.24,1258,2011,78.74
R PERUVAMBA AT CHANDAPPURA,KERALA,6.8,6.9,52,0.9,0.45,198,2011,85.26
R PULLUR AT PULLUR BR.,KERALA,6.2,6.6,44,0.7,0.21,1630,2011,73.04
R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,4.5,6.5,77,1.1,0.34,2675,2011,61.62
R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,4,7,19279,0.9,0.03,233,2011,70.8
R SHRIYA AT ANGADIMOGARU,KERALA,7,7.4,69,1,0.12,660,2011,82.94
R THALLASSERY AT PATHIPPALAM,KERALA,6.5,6.8,58,0.5,0.24,1026,2011,79.64
R THIRUR AT THALAKKADATHUR BRIDGE,KERALA,4.6,6.9,98,0.6,0.11,348,2011,73.84
R UPPALA AT  UPPALA BR.,KERALA,6.6,7.3,12327,0.6,0.71,2210,2011,82.04
"VAMANAPURAM, KERALA",KERALA,7.1,7,51,1,0.78,1700,2011,82.94
"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",ANDHRA PRADESH,6.2,7.5,371,1.1,1.62,528,2011,82.04
"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,6.2,7.7,316,1.3,2.41,312,2011,87.66
"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,7.3,7.1,241,2.9,1.17,185,2011,88.02
"KALI AT U/S OF WCPM, DANDELI, KARNATAKA",KARNATAKA,7.7,7.4,121,1.4,0.64,1255,2011,82.76
KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNATAKA,6.5,7.3,64,1,2.6,420,2011,88.56
NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,6.9,7.4,57,1,1.28,409,2011,88.56
"BUDHABALANGA, D/S OF BARIPADA TOWN",ORISSA,7.5,8,211,1.9,0.39,6858,2011,82.58
"BUDHABALANGA, D/S OF BARIPADA TOWN",ORISSA,7.2,8,263,3.7,0.63,14725,2011,66.48
"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",ORISSA,7,7.6,111,1.6,0.67,2743,2011,82.76
"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ORISSA,7.5,7.9,205,1.5,1,3542,2011,82.58
"NAGAVALLI AT JAYKAYPUR D/S, ORISSA",ORISSA,7.1,7.7,283,2.3,1.73,6692,2011,82.4
"NAGAVALLI AT RAYAGADA D/S, ORISSA",ORISSA,7.4,8,263,1.7,0.65,6617,2011,82.4
"RUSHIKULYA AT GANJAM U/S, ORISSA",ORISSA,8.1,8,300,2.3,0.45,4569,2011,82.4
"RUSHIKULYA AT GANJAM D/S, ORISSA",ORISSA,7.8,8,13103,2.1,0.59,739,2011,82.04
VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),ORISSA,7.4,8,207,1.5,0.53,2872,2011,82.58
VANSADHARA AT GUNUPUR (INTERSTATE BOUNDRY),ORISSA,7.2,8,198,1.4,0.57,1850,2011,82.58
"ARASALAR RIVER KARAIKAL REGION, PONDICHERRY",PONDICHERRY,6.5,8.1,729,1,0.65,,2011,70.8
CORINGA RIVER,PONDICHERRY,3,8.1,1086,,0.1,,2011,30.54
GAUTAMINANGODAVARI RIVER,PONDICHERRY,6.9,8.2,10910,,0.02,,2011,47.4
GAUTAMINANGODAVARI RIVER,PONDICHERRY,6,8,17990,,0.07,,2011,47.4
MAHE RIVER,PONDICHERRY,4.8,7.7,48500,,0.34,,2011,36.16
"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNADU",TAMIL NADU,6.3,7.6,830,1.8,0.24,2020,2011,82.04
"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",TAMIL NADU,7.4,7.6,104,1.2,0.09,,2011,71.52
RIVER GHAGGAR AT D/S OF SURAJPUR,HARYANA,6.9,7.8,440,3.4,1.21,,2011,66.12
"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",PUNJAB,5.8,7.2,732,8.5,3.83,4838,2011,67.06
"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",PUNJAB,5.6,7.4,1322,15.3,15,41500,2011,55.82
"GHAGGAR NEAR BANKARPUR,DERA BASSI,PUNJAB",PUNJAB,5.4,7.3,809,10,4.2,8975,2011,67.06
"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.), PUNJAB",PUNJAB,5.7,7.3,1103,14.3,13.75,52500,2011,55.82
GHAGGAR AT D/S CHHATBIR,PUNJAB,5.7,7.5,906,24,14.18,17625,2011,55.82
"GHAGGAR AT U/S DHAKANSU NALLAH, PUNJAB",PUNJAB,3.5,7.4,1064,20,13.2,14500,2011,44.58
"GHAGGAR AT D/S DHAKANSU NALLAH, PUNJAB",PUNJAB,3.2,7.6,1197,27.3,19.2,40250,2011,44.58
GHAGGAR AT D/S JHARMAL NADI,PUNJAB,4.7,7.3,1383,32.8,16.4,42875,2011,50.2
GHAGGAR AT U/S JHARMAL NADI,PUNJAB,4.8,7.4,1063,16,5.03,8025,2011,61.44
"GHAGGAR AT MOONAK, PUNJAB",PUNJAB,5.3,7.5,1532,18.3,15.8,63500,2011,55.82
GHAGGAR AT D/S SARDULGARH,PUNJAB,5.6,7.5,1269,34.5,12.15,60000,2011,55.82
GHAGGAR AT U/S SARDULGARH,PUNJAB,5.4,7.4,1194,22,8.3,35000,2011,55.82
"GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,DEBWALI ROAD,HARYANA",HARYANA,6.1,6.8,780,14.7,,,2011,55.34
"GHAGGAR GHNAN2 AT CHANDARPUR SYPHON,  HARYANA",HARYANA,6.1,6.8,773,14.7,,,2011,55.34
GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL WATER) (HARYANA),HARYANA,6,7,820,15.3,,,2011,58.64
"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629, RAJASTHAN",RAJASTHAN,4.8,7.9,650,3.2,0.68,62,2011,71.74
"GAGGAR RIVER D/S HANUMANGARH NEAR 2 KNJ NAI ABADI, MAKKASR",RAJASTHAN,5,7.3,390,2.8,0.14,20,2011,82.04
"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",HIMACHAL PRADESH,8.3,7.6,334,1,0.49,16,2011,93.28
MARKANDA U/S KALA AMB,HIMACHAL PRADESH,8.2,7.7,316,1.2,0.48,20,2011,93.28
KALA AMB D/S MARKANDA RIVER,HARYANA,3.1,7.8,1261,195.4,4.78,,2011,30.54
MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,8.3,7.6,304,1.2,0.51,20,2011,93.28
"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",HIMACHAL PRADESH,5.5,7.6,743,7.6,1.02,166,2011,72.68
"RIVER BANDI AT HEMAWAS DAM, PALI, RAJASTHAN",RAJASTHAN,5.1,7.8,657,1.7,0.26,23,2011,87.66
"RIVER JAWAI AT JAWAI DAM, SIROHI, RAJASTHAN",RAJASTHAN,5.3,7.8,623,1.7,,,2011,62.38
BARAK RIVER AT SENAPATI ,MANIPUR,8.7,7.1,252,4.9,,10,2011,86.16
"BARAK RIVER AT N.H. 53, TAMENGLONG DISTT., MANIPUR",MANIPUR,5.1,7.2,17,1,,10,2011,85.76
CHAKPI AT CHAKPI KARONG ,MANIPUR,10,7.4,157,0.6,,5,2011,96.64
"IMPHAL AT MAHABALI, MANIPUR",MANIPUR,5.9,7,164,1.6,,74,2011,79.78
"IMPHAL AT KOIRENGEI, MANIPUR",MANIPUR,6.1,7.3,141,1.4,,63,2011,85.58
"IMPHAL AT KIYAMGI, MANIPUR",MANIPUR,5.6,7.1,427,1.4,,175,2011,79.24
IMPHAL AT MINUTHONG,MANIPUR,4.7,7,527,1.9,,42,2011,79.24
"IMPHAL AT KANGLA MOAT, IMPHAL ",MANIPUR,5.5,8.6,116,4.5,,113,2011,71.98
"IMPHAL AT SAMUROU, IMPHAL WEST",MANIPUR,6.8,6.8,160,1.5,,23,2011,87.72
"IMPHAL AT SEKMAI, IMPHAL EAST",MANIPUR,7,7.4,47,1,,5,2011,97
IRANG RIVER AT TAMENGLONG,MANIPUR,7.3,7.8,116,1.2,,10,2011,91.2
"IRIL AT PORAMPET, MANIPUR",MANIPUR,5.5,7.3,179,1.2,,75,2011,79.78
"IRIL AT LILONG, MANIPUR",MANIPUR,4.7,7.4,220,1.6,,140,2011,74.16
"IRIL RIVER AT KANGLA SIPHAI, IMPHAL EAST, MANIPUR",MANIPUR,4.9,7,180,1.2,,10,2011,79.78
IRIL RIVER AT LILONG (THOUBAL ),MANIPUR,5.8,7.8,367,6.2,,95,2011,69.88
KHUGA RIVER (CHURACHANDPUR),MANIPUR,5.8,7.4,249,1,,37,2011,85.22
"KHUGA DAM ON KHUGA RIVER, CHURACHANDPUR, MANIPUR",MANIPUR,6.2,6.9,182,2.1,,8,2011,87.72
"KHUJAIROK, MOREH (CHANDEL DIST.)",MANIPUR,5.5,7.7,356,1.2,,202,2011,79.24
"LOKCHAO RIVER AT BISHNUPUR, MANIPUR",MANIPUR,5.1,6.9,190,2.3,,33,2011,82.1
"MAHA RIVER AT CHANDEL, MANIPUR",MANIPUR,5.2,7.1,164,2.8,,20,2011,85.4
"MANIPUR RIVER AT SEKMAIJAN, DISTT. THOUBAL, MANIPUR",MANIPUR,4.6,7,188,2.8,,18,2011,79.78
MANIPUR RIVER AT ETHAI BARRAGE ON MANIPUR RIVER AT BISHNUPUR,MANIPUR,5.6,6.6,165,1.9,,23,2011,75.5
NAMBUL RIVER AT HUMP BRIDGE,MANIPUR,1.9,6.8,484,15.3,,1075,2011,38.48
"NAMBUL RIVER AT HEIRANGOITHONG, MANIPUR",MANIPUR,2.5,7.1,424,16.7,,682,2011,41.78
"NAMBUL RIVER AT SAMUSANG (U.K. ROAD), DISTT. IMPHAL WEST",MANIPUR,5.5,6.9,118,2.8,,10,2011,82.28
"NAMBUL RIVER AT SINGDA DAM, IMPHAL WEST, MANIPUR",MANIPUR,6,7,100,4.2,,10,2011,86.52
"NAMBUL RIVER AT NAOREMTHONG, IMPHAL WEST, MANIPUR",MANIPUR,4.9,6.9,93,3.6,,25,2011,71.98
"NAMBUL RIVER AT  BISHNUPUR, MANIPUR",MANIPUR,4.8,7,167.1,2.8,,,2011,57.3
"SEKMAI RIVER, KAKCHING (THOUBAL DIST.)",MANIPUR,5.4,7.2,211,1.1,,78,2011,79.78
"THOUBAL RIVER AT MAPITHEL DAM, DISTT. THOUBAL, MANIPUR",MANIPUR,6,7.5,231,1.1,,10,2011,90.84
"THOUBAL RIVER AT PHADOM, DISTT. THOUBAL, MANIPUR",MANIPUR,5.6,7.1,319,4.4,,15,2011,80.18
"THOUBAL RIVER AT YAIRIPOK, DISTT. THOUBAL, MANIPUR",MANIPUR,5.7,6.9,261,2.3,,53,2011,76.3
"THOUBAL RIVER AT SONGKHONG, (UKL DIST.)",MANIPUR,9.9,7.1,163,1,,35,2011,91.02
THOUBAL RIVER AT LITAN (UKL DIST.),MANIPUR,6.1,7.6,163,4.5,,25,2011,86.34
"WANGJING RIVER AT HEIROK, DISTT. THOUBAL, MANIPUR",MANIPUR,5.1,6.9,170,2.5,,10,2011,82.1
"WANGJING RIVER AT WANGJING, DISTT. THOUBAL, MANIPUR",MANIPUR,3.8,7,192,3,,23,2011,74.16
"GANOL RIVER TURA, MEGHALAYA",MEGHALAYA,7.8,7.2,139,1.9,0.56,359,2011,88.38
"KHARKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.,MEGHALAYA",MEGHALAYA,6.5,3.1,489,6.1,0.52,47,2011,67.42
"MYNTDU RIVER JOWAI, MEGHALAYA",MEGHALAYA,7.3,7,162,2.2,0.69,2633,2011,82.58
SIMSANG RIVER WILLIAMNAGAR,MEGHALAYA,7.8,7.1,136,1.9,0.52,409,2011,88.38
UMTREW AT BYRNIHAT EAST,MEGHALAYA,7.7,7.1,205,7,0.84,461,2011,78.84
TLAWNG UPSTREAM AIZAWL,MIZORAM,8.1,7.1,267,1,0.11,12,2011,93.64
TLAWNG DOWNSTREAM AIZAWL,MIZORAM,8,7,278,1.1,0.11,18,2011,93.64
TUIRIAL UPPER CATCHMENT,MIZORAM,6.9,7.2,268,1.1,0.11,37,2011,93.64
TUIRIAL LOWER CATCHMENT,MIZORAM,6.8,7.1,286,1.3,0.11,29,2011,93.64
GUMTI AT U/S SOUTH TRIPURA,TRIPURA,6.6,7.8,149,1.8,,340,2011,85.58
GUMTI AT D/S SOUTH TRIPURA,TRIPURA,6.3,8,164,3.4,0.3,528,2011,77.9
"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",TRIPURA,6.6,7.9,196,4.4,0.8,648,2011,77.9
"DAMANGANGA AT ZARI CAUSE WAY BRIDGE, DAMAN ",DAMAN & DIU,5.6,7.5,15608,25,18.73,5,2010,83.92
DAMANGANGA AT DISCHARG POINT DISTILLARY,DAMAN & DIU,3.7,7.5,39503,13.5,25.71,,2010,44.02
"DAMANGANGA AT DAMAN JETTY, MOTI DAMAN",DAMAN & DIU,4.7,7.6,46170,21.5,19.69,,2010,50.2
"DAMANGANGA AT VAPI WEIR, VAPI",DAMAN & DIU,5.8,7.8,378,,2.61,,2010,41.78
"DAMANGANGA AT LAVACHA TEMPLE, DADRA",DAMAN & DIU,6.6,7.7,489,,2.66,350,2010,64.26
"DAMANGANGA at D/s of M/s Surat Beverages, Dadra",DAMAN & DIU,6.6,7.4,492,,3.6,,2010,47.4
"DAMANGANGA AT NAROLI BRIDGE, SILVASSA",DAMAN & DIU,6.2,7.8,359,,3.67,,2010,47.4
"DAMANGANGA AT VILLAGE NAMDHA, VAPI",DAMAN & DIU,5.8,7.7,8757,,10.45,4,2010,69.88
BALEHWAR KHADI AT N.H. NO. 8,GUJARAT,5.1,8.1,533,3.7,0.45,7500,2010,71.74
RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,GUJARAT,7.1,8,555,2,0.35,15000,2010,70.8
RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,GUJARAT,6.8,8.2,26600,3.1,0.62,23000,2010,66.12
RIVER DHADAR AT KOTHADA,GUJARAT,8.1,7.6,938,8.6,0.4,108,2010,78.3
"AMBIKA AT BILIMORA, ",GUJARAT,6.2,7.8,7778,2.7,0.26,6581,2010,82.04
"AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,",GUJARAT,,7.2,1440,46,0.2,330,2010,50.2
"MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN, ",GUJARAT,3.2,7.7,885,6.3,0.51,9575,2010,55.82
ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS,NAN,6.6,6.5,58,1.8,0.87,53,2010,78.66
ZUARI AT PANCHAWADI,NAN,6.6,6.6,145,1.5,0.65,98,2010,78.48
MANDOVI AT NEGHBOURHOOD OF PANAJI,NAN,6.3,6.6,55,1.8,0.36,140,2010,78.66
"MANDOVI AT TONCA, MARCELA",NAN,6.4,6.4,188,2,0.44,153,2010,71.7
KALNA AT CHANDELNAN PERNEM,NAN,6.9,6.2,61,1.7,1.07,117,2010,72.06
ASSONORA AT ASSONORA,NAN,7.2,6.1,62,2.6,0.92,123,2010,72.06
"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",NAN,6.9,6.6,154,1.9,0.83,173,2010,78.3
"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",NAN,7,6.3,742,1.6,0.42,139,2010,71.16
KHANDEPAR AT OPA NAN PONDA,NAN,7.6,6.2,62,1.1,0.38,160,2010,72.06
"KHANDEPAR AT CODLI NR BDG,U/S OPA WATERWORKS, SANGUEM",NAN,7.1,6.2,69,1.4,0.56,141,2010,72.06
"KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",NAN,6.8,6,93,1.9,0.75,136,2010,71.88
MADAI AT DABOS NAN  VALPOI,NAN,7.1,6.2,89,1.4,0.68,119,2010,71.88
MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,NAN,6.3,6.2,110,1.5,0.59,157,2010,71.88
"SAL PAZORKHONI, CUNCOLIM (NR CULVERT MARGAONAN CANACONA N.H.)",NAN,6.2,7,77,1.8,0.46,173,2010,88.38
"SAL NEAR HOTEL LEELA MOBOR, CAVELOSSIM",NAN,6.2,6.8,67,1.7,0.61,145,2010,85.26
TALPONA AT CANACONA,NAN,6.9,6.5,62,1.4,0.6,107,2010,78.66
VALVANT AT SANKLINANBICHOLIM,NAN,6.7,6.2,62,0.9,0.57,187,2010,72.06
"AMBA AT D/S OF WAKEN BDG U/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",NAN,6.8,7.9,119,3.5,0.58,517,2010,78.08
BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS),NAN,7,7.7,88,3.2,0.13,17,2010,89.32
"BHATSA AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",NAN,6.9,7.3,70,3.4,0.19,,2010,67.02
"BHATSA AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",NAN,7.4,7.2,77,3,0.23,,2010,71.52
KALU AT ATALE VILLAGE,NAN,7,7.4,3113,4,2.16,350,2010,82.98
"KAN NEAR SAKRI WATER WORKS, SAKRI, DHULE",NAN,5.5,8.1,363,8.4,2.15,69,2010,72.68
KUNDALIKA AT ROHA CITY,NAN,6.9,7.5,86,3.6,0.4,582,2010,78.08
KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),NAN,6.4,7.4,621,37.8,1.79,728,2010,72.68
"KUNDALIKA NEAR SALAV BDG (SALINA ZONE), SALAV, ROHA, RAIGAD",NAN,5.2,7.9,42354,9.5,1.1,253,2010,72.68
"KUNDALIKA  AT DHATAV AT JACKWELL, DHATAV, ROHA, RAIGAD",NAN,6.9,7.4,73,3.5,0.27,659,2010,78.26
MITHI RIVER,NAN,3.4,7.4,17842,31.5,3.32,1767,2010,55.82
"MUCHKUNDI AT WAKED NEAR M/S ASAHI INDIA GLASS LTD, WAKED, LANJA, RATNAGIRI",NAN,7.4,8.1,254,2.2,0.15,75,2010,88.02
PATALGANGA AT SHILPHATA,NAN,6.7,7.4,125,3.7,0.4,820,2010,78.08
PATALGANGA NEAR INTAKE OF MIDC W/W,NAN,6.6,7.5,129,3.9,0.4,381,2010,83.7
"PATALGANGA AT D/S OF KHARPADA BDG, KHARPADA, KHALAPUR, RAIGAD",NAN,6.1,7.3,515,5.1,2.02,212,2010,82.98
"PATALGANGA AT VYAL PUMP HOUSE, VYAL, KHALAPUR, RAIGAD",NAN,6.6,7.4,122,3.6,0.46,361,2010,83.7
"PATALGANGA AT KHALAPUR PUMPING STATION, RAIGAD",NAN,6.5,7.3,131,3.8,0.79,261,2010,83.7
"PATALGANGA AT SAVROLI BDG, KHALAPUR. RAIGAD",NAN,6.7,7.3,130,3.4,0.57,318,2010,83.7
"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, KHALAPUR, RAIGAD",NAN,6.6,7.4,95,3.7,0.53,217,2010,83.7
"PEHLAR DAM ON PEHLAR RIVERNANINLET OF WATER WORKS, VASAI, THANE",NAN,6.8,7.7,143,3.6,0.43,109,2010,83.7
SAVITRI AT OVALE VILLAGE.,NAN,6.3,7.5,10825,2.9,1.93,101,2010,87.66
"SAVITRI JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",NAN,7.1,7.4,185,2.2,0.63,80,2010,88.2
"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",NAN,6.7,7.5,1439,2.5,1.47,113,2010,87.66
"SAVITRI AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",NAN,6.6,7.5,185,2.4,0.3,113,2010,88.2
"SAVITRI AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",NAN,6.7,7.8,3521,2.4,1.02,90,2010,87.66
"SURYA U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",NAN,7.1,7.7,193,3.1,0.53,92,2010,83.52
"SURYA AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",NAN,7.1,7.9,175,3.1,0.47,86,2010,83.52
"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",NAN,7.1,7.8,174,3.3,0.44,83,2010,83.52
"TANSA NEAR ROAD BDG, VILL DAKEWALI, WADA, THANE",NAN,7.2,7.5,308,4,0.15,,2010,66.12
ULHAS AT U/S OF NRC BUND AT MOHANE,NAN,6.4,7.7,153,3.6,0.77,592,2010,77.9
ULHAS AT U/S OF BADLAPUR,NAN,7,7.7,111,3.4,0.42,359,2010,83.7
ULHAS RIVER ATJAMBHUL WATER WORKS.,NAN,6.6,7.6,209,3.4,0.68,243,2010,83.52
"VAITARNA NR RD BDG, GANDHARE VILL., WADA, THANE",NAN,7.5,8.2,296,3.5,0.14,,2010,66.48
VASHISTI AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,NAN,6.9,7.5,119,2.2,0.42,71,2010,88.38
"VASHISHTI AT D/S OF THREE M PAPER MILLS NR CHIPLUN WATER INTAKE JACKWELL, KHERDI, RATNAGIRI",NAN,6.8,7.7,116,2.3,1.33,74,2010,88.38
"VASHISHTI AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",NAN,7,7.7,118,2.1,0.5,64,2010,88.38
PERIYAR NEAR ALWAYENANELOOR,NAN,5.2,6.6,453,1.5,0.38,4613,2010,66.52
